instrument_token,exchange_token,tradingsymbol,name,instrument_type,segment,exchange
136857604,534600,JTLIND,JTL INDUSTRIES,EQ,BSE,BSE
136860676,534612,AMTL,ADVANCE METERING TECHNOLOGY LT,EQ,BSE,BSE
136861444,534615,NECCLTD,NORTH EASTERN CARRYING CORPORA,EQ,BSE,BSE
136862212,534618,WAAREERTL,WAAREE RENEWABLE TECHNOLOGIES,EQ,BSE,BSE
136863492,534623,JUPITERIN,JUPITER INFOMEDIA,EQ,BSE,BSE
136867588,534639,VINAYAKPOL,VINAYAK POLYCON INTERNATIONAL,EQ,BSE,BSE
136872708,534659,JOINTECAED,JOINTECA EDUCATION SOLUTIONS L,EQ,BSE,BSE
136876548,534674,DUCON,DUCON INFRATECHNOLOGIES,EQ,BSE,BSE
136876804,534675,PROZONER,PROZONE REALTY,EQ,BSE,BSE
136878084,534680,SRGHFL,SRG HOUSING FINANCE,EQ,BSE,BSE
136880900,534691,COMCL,COMFORT COMMOTRADE,EQ,BSE,BSE
136885252,534708,SHANTIGURU,SHANTI GURU INDUSTRIES,EQ,BSE,BSE
136891396,534732,CASPIAN,CASPIAN CORPORATE SERVICES LIM,EQ,BSE,BSE
136891652,534733,AERPACE,AERPACE INDUSTRIES ,EQ,BSE,BSE
136893700,534741,VIRTUALG,VIRTUAL GLOBAL EDUCATION,EQ,BSE,BSE
136893956,534742,ZUARI,ZUARI AGRO CHEMICALS,EQ,BSE,BSE
136895492,534748,STEELXIND,STEEL EXCHANGE INDIA,EQ,BSE,BSE
136897284,534755,TRIOMERC,TRIO MERCANTILE & TRADING,EQ,BSE,BSE
136898052,534758,CIGNITITEC,CIGNITI TECHNOLOGIES,EQ,BSE,BSE
136909828,534804,CARERATING,CARE RATINGS ,EQ,BSE,BSE
136911108,534809,PCJEWELLER,PC JEWELLER,EQ,BSE,BSE
136912900,534816,INDUSTOWER,INDUS TOWERS,EQ,BSE,BSE
136939524,534920,COVIDH,COVIDH,EQ,BSE,BSE
136953860,534976,VMART,V-MART RETAIL,EQ,BSE,BSE
136994820,535136,NIBE,NIBE,EQ,BSE,BSE
137012228,535204,MUKTA,MUKTA AGRICULTURE ,EQ,BSE,BSE
137012484,535205,MYSTICELE,MYSTIC ELECTRONICS ,EQ,BSE,BSE
137028356,535267,COMFINCAP,COMFORT FINCAP,EQ,BSE,BSE
137030660,535276,SBISENSEX,SBI MUTUAL FUND - SBI ETF SENS,EQ,BSE,BSE
137031428,535279,BMAL,BOTHRA METALS & ALLOYS,EQ,BSE,BSE
137042436,535322,REPCOHOME,REPCO HOME FINANCE,EQ,BSE,BSE
137059076,535387,LAKHOTIA,LAKHOTIA POLYESTERS (INDIA) LT,EQ,BSE,BSE
137070340,535431,GCMSECU,GCM SECURITIES,EQ,BSE,BSE
137077252,535458,NIBL,NRB INDUSTRIAL BEARINGS,EQ,BSE,BSE
137091588,535514,PRIMECAPM,PRIME CAPITAL MARKET,EQ,BSE,BSE
137104900,535566,KIFS,KIFS FINANCIAL SERVICES,EQ,BSE,BSE
137113860,535601,SREEL,SREELEATHERS,EQ,BSE,BSE
137114116,535602,SHARDAMOTR,SHARDA MOTOR INDUSTRIES,EQ,BSE,BSE
137118724,535620,BINNYMILLS,BINNY MILLS,EQ,BSE,BSE
137118980,535621,SVGLOBAL,S V GLOBAL MILL,EQ,BSE,BSE
137125636,535647,SDC,SDC TECHMEDIA,EQ,BSE,BSE
137125892,535648,JUSTDIAL,JUST DIAL,EQ,BSE,BSE
137128196,535657,OONE,OBJECTONE INFORMATION SYSTEMS,EQ,BSE,BSE
137130756,535667,IFINSEC,INDIA FINSEC,EQ,BSE,BSE
137137412,535693,BRAHMINFRA,BRAHMAPUTRA INFRASTRUCTURE,EQ,BSE,BSE
137144068,535719,AMPVOLTS,AMPVOLTS,EQ,BSE,BSE
137146884,535730,KHOOBSURAT,KHOOBSURAT,EQ,BSE,BSE
137153028,535754,ORIENTCEM,ORIENT CEMENT,EQ,BSE,BSE
137153284,535755,ABFRL,ADITYA BIRLA FASHION AND RETAI,EQ,BSE,BSE
137161988,535789,SAMMAANCAP,SAMMAAN CAPITAL ,EQ,BSE,BSE
137192964,535910,MMLF,MONEY MASTERS LEASING & FINANC,EQ,BSE,BSE
137194500,535916,ALSL,ALACRITY SECURITIES,EQ,BSE,BSE
137194756,535917,GCMCOMM,GCM COMMODITY & DERIVATIVES LT,EQ,BSE,BSE
137205252,535958,ESSENTIA,INTEGRA ESSENTIA ,EQ,BSE,BSE
137234692,536073,JULIEN,JULIEN AGRO INFRATECH,EQ,BSE,BSE
137283588,536264,TIGERLOGS,TIGER LOGISTICS (INDIA),EQ,BSE,BSE
137342212,536493,JKAGRI,JK AGRI GENETICS,EQ,BSE,BSE
137345796,536507,FLFL,FUTURE LIFESTYLE FASHIONS,EQ,BSE,BSE
137360644,536565,NOVELIX,NOVELIX PHARMACEUTICALS LIMITE,EQ,BSE,BSE
137384708,536659,PVVINFRA,PVV INFRA ,EQ,BSE,BSE
137388036,536672,VCU,VCU DATA MANAGEMENT,EQ,BSE,BSE
137397508,536709,INDRENEW,IND RENEWABLE ENERGY,EQ,BSE,BSE
137397764,536710,SRGFFL,SRG FINGROW FINANCE,EQ,BSE,BSE
137404676,536737,ACFSL,AMRAPALI CAPITAL AND FINANCE S,EQ,BSE,BSE
137404932,536738,STELLAR,STELLAR CAPITAL SERVICES,EQ,BSE,BSE
137413892,536773,JPOLYINVST,JINDAL POLY INVESTMENT AND FIN,EQ,BSE,BSE
137432580,536846,YURANUS,YURANUS INFRASTRUCTURE,EQ,BSE,BSE
137461764,536960,MOM100,MOTILAL OSWAL MUTUAL FUND - MO,EQ,BSE,BSE
137465348,536974,CPL,CAPTAIN POLYPLAST,EQ,BSE,BSE
137473796,537007,NIFTYIETF,ICICI PRUDENTIAL NIFTY ETF,EQ,BSE,BSE
137474052,537008,NIF100IETF,ICICI PRUDENTIAL NIFTY 100 ETF,EQ,BSE,BSE
137489668,537069,ARNOLD,ARNOLD HOLDINGS,EQ,BSE,BSE
137536772,537253,SUNLOC,SUNIL HEALTHCARE,EQ,BSE,BSE
137538308,537259,SUYOG,SUYOG TELEMATICS,EQ,BSE,BSE
137546500,537291,NATHBIOGEN,NATH BIO-GENES (INDIA),EQ,BSE,BSE
137546756,537292,AGRITECH,AGRI- TECH (INDIA),EQ,BSE,BSE
137555460,537326,CHEMTECH,CHEMTECH INDUSTRIAL VALVES,EQ,BSE,BSE
137595652,537483,NIF100BEES,NIPPON INDIA ETF NIFTY 100,EQ,BSE,BSE
137609220,537536,DENISCHEM,DENIS CHEM LAB,EQ,BSE,BSE
137618692,537573,POLYMAC,POLYMAC THERMOFORMERS,EQ,BSE,BSE
137620996,537582,UNISHIRE,UNISHIRE URBAN INFRA,EQ,BSE,BSE
137643268,537669,LAXMIPATI,LAXMIPATI ENGINEERING WORKS LI,EQ,BSE,BSE
137652996,537707,LADDU,LADDU GOPAL ONLINE SERVICES LI,EQ,BSE,BSE
137653252,537708,NIFTY1,KOTAK MAHINDRA MUTUAL FUND - K,EQ,BSE,BSE
137653508,537709,HANSUGAR,SHREE HANUMAN SUGAR & INDUSTRI,EQ,BSE,BSE
137664004,537750,KIRANVYPAR,KIRAN VYAPAR,EQ,BSE,BSE
137668100,537766,BCP,B.C. POWER CONTROLS,EQ,BSE,BSE
137672708,537784,KCSL,KARNIMATA COLD STORAGE,EQ,BSE,BSE
137672964,537785,RACE,RACE ECO CHAIN,EQ,BSE,BSE
137676804,537800,MANGIND,MANGALAM INDUSTRIAL FINANCE LT,EQ,BSE,BSE
137681924,537820,VIJIFIN,VIJI FINANCE,EQ,BSE,BSE
137686788,537839,PHOENIXTN,PHOENIX TOWNSHIP,EQ,BSE,BSE
137687044,537840,RAUNAQ,RAUNAQ INTERNATIONAL,EQ,BSE,BSE
137724164,537985,INFRONICS,INFRONICS SYSTEMS,EQ,BSE,BSE
137742596,538057,CPSEETF,CPSE ETF,EQ,BSE,BSE
137748740,538081,HARIAAPL,HARIA APPARELS,EQ,BSE,BSE
137751556,538092,VASUPRADA,SHRI VASUPRADA PLANTATIONS LIM,EQ,BSE,BSE
137758468,538119,RNBDENIMS,R&B DENIMS,EQ,BSE,BSE
137782276,538212,SHARPINV,SHARP INVESTMENTS,EQ,BSE,BSE
137796612,538268,WONDERLA,WONDERLA HOLIDAYS,EQ,BSE,BSE
137797892,538273,RESPONSINF,RESPONSE INFORMATICS,EQ,BSE,BSE
137809668,538319,GCMCAPI,GCM CAPITAL ADVISORS,EQ,BSE,BSE
137821444,538365,INCREDIBLE,INCREDIBLE INDUSTRIES,EQ,BSE,BSE
137825796,538382,WESTLEIRES,WEST LEISURE RESORTS,EQ,BSE,BSE
137829124,538395,NAM,NAM SECURITIES,EQ,BSE,BSE
137830660,538401,METSL,MAESTROS ELECTRONICS & TELECOM,EQ,BSE,BSE
137836036,538422,JACKSON,JACKSON INVESTMENTS,EQ,BSE,BSE
137842180,538446,MONEYBOXX,MONEYBOXX FINANCE,EQ,BSE,BSE
137843460,538451,WORTH,WORTH INVESTMENT & TRADING CO,EQ,BSE,BSE
137843716,538452,QUASAR,QUASAR INDIA,EQ,BSE,BSE
137846788,538464,TPROJECT,THIRANI PROJECTS,EQ,BSE,BSE
137847044,538465,AMARSEC,AMARNATH SECURITIES,EQ,BSE,BSE
137849860,538476,CTL,CAPITAL TRADE LINKS,EQ,BSE,BSE
137854980,538496,TARINI,TARINI INTERNATIONAL,EQ,BSE,BSE
137861124,538520,SBL,SHIVAMSHREE BUSINESSES,EQ,BSE,BSE
137861380,538521,YAANENT,YAAN ENTERPRISES,EQ,BSE,BSE
137865988,538539,ANVRDHI,ANNVRRIDHHI VENTURES,EQ,BSE,BSE
137866244,538540,RLFL,RAMCHANDRA LEASING & FINANCE L,EQ,BSE,BSE
137866756,538542,GOLDCOINHF,GOLD COIN HEALTH FOODS,EQ,BSE,BSE
137867780,538546,BRPL,BANSAL ROOFING PRODUCTS,EQ,BSE,BSE
137870340,538556,ARMAN,ARMAN HOLDINGS,EQ,BSE,BSE
137871876,538562,SKIPPER,SKIPPER,EQ,BSE,BSE
137872132,538563,SMTEL,SMT ENGINEERING,EQ,BSE,BSE
137872388,538564,JAMESWARREN,JAMES WARREN TEA,EQ,BSE,BSE
137872644,538565,VISTARAMAR,VISTAR AMAR ,EQ,BSE,BSE
137873156,538567,GULFOILLUB,GULF OIL LUBRICANTS INDIA,EQ,BSE,BSE
137873412,538568,FRUTION,FRUITION VENTURE,EQ,BSE,BSE
137873668,538569,TRIVENIENT,TRIVENI ENTERPRISES,EQ,BSE,BSE
137875460,538576,BHANDERI,BHANDERI INFRACON,EQ,BSE,BSE
137876228,538579,ZINEMA,ZINEMA MEDIA AND ENTERTAINMENT,EQ,BSE,BSE
137879300,538591,NCAPBULADD,RELIANCE MUTUAL FUND - RELIANC,EQ,BSE,BSE
137879556,538592,NCAPBULADG,RELIANCE MUTUAL FUND- RELIANCE,EQ,BSE,BSE
137879812,538593,NCAPBUILAD,RELIANCE MUTUAL FUND- RELIANCE,EQ,BSE,BSE
137880068,538594,NCAPBUILAG,RELIANCE MUTUAL FUND- RELIANCE,EQ,BSE,BSE
137880580,538596,CEMAINFRA,CEMANTIC INFRA-TECH,EQ,BSE,BSE
137880836,538597,TTIENT,TTI ENTERPRISE,EQ,BSE,BSE
137881092,538598,VISHAL,VISHAL FABRICS,EQ,BSE,BSE
137883396,538607,TOYAMSL,TOYAM SPORTS,EQ,BSE,BSE
137883908,538609,GAJANANSEC,GAJANAN SECURITIES SERVICES LT,EQ,BSE,BSE
137884164,538610,UNISON,UNISON METALS,EQ,BSE,BSE
137884420,538611,RTFL,REAL TOUCH FINANCE ,EQ,BSE,BSE
137889284,538630,NCAPBULBDD,RELIANCE MUTUAL FUND - RELIANC,EQ,BSE,BSE
137889540,538631,NCAPBULBDG,RELIANCE MUTUAL FUND- RELIANCE,EQ,BSE,BSE
137889796,538632,NCAPBUILBD,RELIANCE MUTUAL FUND- RELIANCE,EQ,BSE,BSE
137890052,538633,NCAPBUILBG,RELIANCE MUTUAL FUND- RELIANCE,EQ,BSE,BSE
137890308,538634,VRL,VASUNDHARA RASAYANS,EQ,BSE,BSE
137890564,538635,SNOWMAN,SNOWMAN LOGISTICS,EQ,BSE,BSE
137893380,538646,QGO,QGO FINANCE,EQ,BSE,BSE
137893636,538647,PURSHOTTAM,PURSHOTTAM INVESTOFIN,EQ,BSE,BSE
137894916,538652,HCLTD,HIND COMMERCE,EQ,BSE,BSE
137898500,538666,SHARDACROP,SHARDA CROPCHEM ,EQ,BSE,BSE
137898756,538667,SIROHIA,SIROHIA & SONS ,EQ,BSE,BSE
137899012,538668,MIIL,MEGHNA INFRACON INFRASTRUCTURE,EQ,BSE,BSE
137900548,538674,CITYONLINE,CITY ONLINE SERVICES ,EQ,BSE,BSE
137902852,538683,SENSEXBEES,NIPPON INDIA ETF SENSEX,EQ,BSE,BSE
137903364,538685,SHEMAROO,SHEMAROO ENTERTAINMENT,EQ,BSE,BSE
137908740,538706,ULTRACAB,ULTRACAB (INDIA) ,EQ,BSE,BSE
137908996,538707,RCCL,RAJASTHAN CYLINDERS & CONTAINE,EQ,BSE,BSE
137909252,538708,ETIL,ECONO TRADE (INDIA) ,EQ,BSE,BSE
137910532,538713,ATISHAY,ATISHAY ,EQ,BSE,BSE
137910788,538714,SANGAMFIN,SANGAM FINSERV ,EQ,BSE,BSE
137911044,538715,DHABRIYA,DHABRIYA POLYWOOD ,EQ,BSE,BSE
137911300,538716,ARYACAPM,ARYAMAN CAPITAL MARKETS LIMITE,EQ,BSE,BSE
137914884,538730,PDSL,PDS,EQ,BSE,BSE
137915140,538731,HANMAN,HANMAN FIT,EQ,BSE,BSE
137915396,538732,VGCL,VIBRANT GLOBAL CAPITAL ,EQ,BSE,BSE
137915908,538734,CEINSYSTECH,CEINSYS TECH,EQ,BSE,BSE
137917956,538742,PANABYTE,PANABYTE TECHNOLOGIES,EQ,BSE,BSE
137918212,538743,MUDUNURU,MUDUNURU ,EQ,BSE,BSE
137923844,538765,JSHL,JLA INFRAVILLE SHOPPERS LIMITE,EQ,BSE,BSE
137925124,538770,CRANEINFRA,CRANE INFRASTRUCTURE ,EQ,BSE,BSE
137925636,538772,NIYOGIN,NIYOGIN FINTECH ,EQ,BSE,BSE
137926916,538777,ASIACAP,ASIA CAPITAL,EQ,BSE,BSE
137927172,538778,KALYANCAP,KALYAN CAPITALS ,EQ,BSE,BSE
137929476,538787,GBFL,GOENKA BUSINESS & FINANCE LIMI,EQ,BSE,BSE
137929732,538788,GILADAFINS,GILADA FINANCE & INVESTMENTS L,EQ,BSE,BSE
137931268,538794,JETSOLAR,JET SOLAR,EQ,BSE,BSE
137931524,538795,SAPPL,SHREE AJIT PULP AND PAPER,EQ,BSE,BSE
137937156,538817,CAPPIPES,CAPTAIN PIPES ,EQ,BSE,BSE
137941252,538833,KAIZENAGRO,KAIZEN AGRO INFRABUILD,EQ,BSE,BSE
137941508,538834,JMJFIN,JMJ FINTECH ,EQ,BSE,BSE
137941764,538835,INTELLECT,INTELLECT DESIGN ARENA,EQ,BSE,BSE
137942020,538836,MONTECARLO,MONTE CARLO FASHIONS ,EQ,BSE,BSE
137942276,538837,JSTL,JEEVAN SCIENTIFIC TECHNOLOGY L,EQ,BSE,BSE
137942532,538838,ICL,INDO COTSPIN ,EQ,BSE,BSE
137947396,538857,SCC,SCINTILLA COMMERCIAL & CREDIT,EQ,BSE,BSE
137948164,538860,PANAFIC,PANAFIC INDUSTRIALS,EQ,BSE,BSE
137948676,538862,MYMONEY,MY MONEY SECURITIES,EQ,BSE,BSE
137948932,538863,AMARNATH,SRI AMARNATH FINANCE,EQ,BSE,BSE
137950212,538868,CSL,CONTINENTAL SECURITIES ,EQ,BSE,BSE
137951748,538874,NEXUSSURGL,NEXUS SURGICAL AND MEDICARE LI,EQ,BSE,BSE
137952004,538875,SELLWIN,SELLWIN TRADERS,EQ,BSE,BSE
137953540,538881,GALADAFIN,GALADA FINANCE ,EQ,BSE,BSE
137953796,538882,EMERALD,EMERALD FINANCE ,EQ,BSE,BSE
137955844,538890,MKEXIM,M. K. EXIM (INDIA),EQ,BSE,BSE
137956100,538891,MCLOUD,MAGELLANIC CLOUD,EQ,BSE,BSE
137956868,538894,OCTAL,OCTAL CREDIT CAPITAL,EQ,BSE,BSE
137957124,538895,MIHIKA,MIHIKA INDUSTRIES,EQ,BSE,BSE
137957380,538896,KANCHI,KANCHI KARPOORAM,EQ,BSE,BSE
137958916,538902,DTIL,DHUNSERI TEA & INDUSTRIES,EQ,BSE,BSE
137963012,538918,VANICOM,VANI COMMERCIALS ,EQ,BSE,BSE
137963268,538919,SKILVEN,SKYLINE VENTURES INDIA,EQ,BSE,BSE
137963524,538920,VINCOFE,VINTAGE COFFEE AND BEVERAGES L,EQ,BSE,BSE
137963780,538921,RAFL,RAGHUVANSH AGROFARMS ,EQ,BSE,BSE
137964036,538922,COSYN,COSYN ,EQ,BSE,BSE
137964292,538923,SOFCOM,SOFCOM SYSTEMS,EQ,BSE,BSE
137965060,538926,NAPL,NATURITE AGRO PRODUCTS ,EQ,BSE,BSE
137965572,538928,KARNAVATI,KARNAVATI FINANCE ,EQ,BSE,BSE
137967364,538935,ABHIFIN,ABHISHEK FINLEASE ,EQ,BSE,BSE
137969156,538942,MERCANTILE,MERCANTILE VENTURES ,EQ,BSE,BSE
137969412,538943,SONAL,SONAL MERCANTILE ,EQ,BSE,BSE
137971716,538952,ALFL,ABHINAV LEASING & FINANCE LIMI,EQ,BSE,BSE
137974020,538961,GENUSPAPER,GENUS PAPER & BOARDS,EQ,BSE,BSE
137974276,538962,MINDACORP,MINDA CORPORATION ,EQ,BSE,BSE
137974788,538964,MERCURYLAB,MERCURY LABORATORIES ,EQ,BSE,BSE
137975044,538965,CONCORD,CONCORD DRUGS ,EQ,BSE,BSE
137976324,538970,WARDINMOBI,WARDWIZARD INNOVATIONS AND MOB,EQ,BSE,BSE
137977604,538975,SHREESEC,SHREE SECURITIES,EQ,BSE,BSE
137978628,538979,GREENLAM,GREENLAM INDUSTRIES,EQ,BSE,BSE
137980676,538987,TALBROSENG,TALBROS ENGINEERING,EQ,BSE,BSE
137981956,538992,SAPL,SAR  AUTO PRODUCTS ,EQ,BSE,BSE
137985284,539005,JAYATMA,JAYATMA ENTERPRISES,EQ,BSE,BSE
137985540,539006,PTCIL,PTC INDUSTRIES,EQ,BSE,BSE
137986820,539011,CHENFERRO,CHENNAI FERROUS INDUSTRIES LIM,EQ,BSE,BSE
137987076,539012,MEGRISOFT,MEGRI SOFT ,EQ,BSE,BSE
137987332,539013,GITARENEW,GITA RENEWABLE ENERGY,EQ,BSE,BSE
137987588,539014,KALPACOMME,KALPA COMMERCIAL ,EQ,BSE,BSE
137987844,539015,ORTEL,ORTEL COMMUNICATIONS ,EQ,BSE,BSE
137988100,539016,NEIL,NEIL INDUSTRIES,EQ,BSE,BSE
137988356,539017,STARHFL,STAR HOUSING FINANCE,EQ,BSE,BSE
137988612,539018,BEEKAY,BEEKAY STEEL INDUSTRIES,EQ,BSE,BSE
137990660,539026,SSPNFIN,SSPN FINANCE ,EQ,BSE,BSE
137991940,539031,SETFBSE100,SBI MUTUAL FUND,EQ,BSE,BSE
137992196,539032,FRASER,FRASER AND COMPANY ,EQ,BSE,BSE
137994244,539040,TTIL,TIRUPATI TYRES,EQ,BSE,BSE
137994500,539041,GANVERSE,GANESHA ECOVERSE,EQ,BSE,BSE
137994756,539042,AGIIL,AGI INFRA ,EQ,BSE,BSE
137995268,539044,MANAKSTEEL,MANAKSIA STEELS ,EQ,BSE,BSE
137995524,539045,MANAKALUCO,MANAKSIA ALUMINIUM COMPANY,EQ,BSE,BSE
137995780,539046,MANAKCOAT,MANAKSIA COATED METALS & INDUS,EQ,BSE,BSE
137998340,539056,IMAGICAA,IMAGICAAWORLD ENTERTAINMENT LI,EQ,BSE,BSE
138005252,539083,INOXWIND,INOX WIND ,EQ,BSE,BSE
138007044,539090,RAJPUTANA,RAJPUTANA INVESTMENT AND FINAN,EQ,BSE,BSE
138007300,539091,CITL,CONSECUTIVE INVESTMENTS & TRAD,EQ,BSE,BSE
138008836,539097,URSUGAR,UR SUGAR INDUSTRIES,EQ,BSE,BSE
138009092,539098,FILTRA,FILTRA CONSULTANTS AND ENGINEE,EQ,BSE,BSE
138009348,539099,ATHCON,ATHENA CONSTRUCTIONS ,EQ,BSE,BSE
138012164,539110,NORTHLINK,NORTHLINK FISCAL AND CAPITAL S,EQ,BSE,BSE
138012420,539111,SHESHAINDS,SHESHADRI INDUSTRIES,EQ,BSE,BSE
138012676,539112,SAB,SAB INDUSTRIES,EQ,BSE,BSE
138012932,539113,PML,PAUL MERCHANTS,EQ,BSE,BSE
138013444,539115,ALANSCOTT,ALAN SCOTT ENTERPRISES,EQ,BSE,BSE
138013700,539116,OPCHAINS,O. P. CHAINS ,EQ,BSE,BSE
138013956,539117,SUJALA,SUJALA TRADING & HOLDING,EQ,BSE,BSE
138014212,539118,VRLLOG,VRL LOGISTICS ,EQ,BSE,BSE
138014468,539119,JAINMARMO,JAIN MARMO INDUSTRIES,EQ,BSE,BSE
138014724,539120,BFFL,BANGALORE FORT FARMS ,EQ,BSE,BSE
138014980,539121,PALCO,PALCO METALS ,EQ,BSE,BSE
138015236,539122,BODHTREE,BODHTREE CONSULTING ,EQ,BSE,BSE
138015492,539123,VBIND,V B INDUSTRIES,EQ,BSE,BSE
138015748,539124,SARVOTTAM,SURVOTTAM FINVEST,EQ,BSE,BSE
138016260,539126,MEP,MEP INFRASTRUCTURE DEVELOPERS,EQ,BSE,BSE
138017796,539132,WARDWIZFBL,WARDWIZARD FOODS AND BEVERAGES,EQ,BSE,BSE
138020100,539141,UFO,UFO MOVIEZ INDIA ,EQ,BSE,BSE
138020612,539143,PANTH,PANTH INFINITY,EQ,BSE,BSE
138021892,539148,SHIVALIK,SHIVALIK RASAYAN,EQ,BSE,BSE
138022148,539149,ICSL,INTEGRATED CAPITAL SERVICES LT,EQ,BSE,BSE
138022404,539150,PNCINFRA,PNC INFRATECH ,EQ,BSE,BSE
138022660,539151,ARFIN,ARFIN INDIA ,EQ,BSE,BSE
138026756,539167,VLL,VIRAT LEASING ,EQ,BSE,BSE
138028548,539174,HELPAGE,HELPAGE FINLEASE,EQ,BSE,BSE
138028804,539175,BLUEGOD,BLUEGOD ENTERTAINMENT,EQ,BSE,BSE
138029060,539176,HAWAENG,HAWA ENGINEERS,EQ,BSE,BSE
138029316,539177,AIIL,AUTHUM INVESTMENT & INFRASTRUC,EQ,BSE,BSE
138032388,539189,ADHBHUTIN,ADHBHUT INFRASTRUCTURE,EQ,BSE,BSE
138032644,539190,DFL,DECILLION FINANCE,EQ,BSE,BSE
138033924,539195,POEL,POCL ENTERPRISES,EQ,BSE,BSE
138034180,539196,AEL,AMBA ENTERPRISES,EQ,BSE,BSE
138034948,539199,SGFIN,SG FINSERVE,EQ,BSE,BSE
138035460,539201,SATIA,SATIA INDUSTRIES,EQ,BSE,BSE
138036740,539206,GVBL,GENOMIC VALLEY BIOTECH,EQ,BSE,BSE
138039300,539216,GARMNTMNTR,GARMENT MANTRA LIFESTYLE LIMIT,EQ,BSE,BSE
138039556,539217,SRESTHA,SRESTHA FINVEST ,EQ,BSE,BSE
138039812,539218,SAUMYA,SAUMYA CONSULTANTS,EQ,BSE,BSE
138040068,539219,MUL,MAURIA UDYOG,EQ,BSE,BSE
138040324,539220,MISHKA,MISHKA EXIM ,EQ,BSE,BSE
138040580,539221,SPORTKING,SPORTKING INDIA,EQ,BSE,BSE
138040836,539222,GROWINGTON,GROWINGTON VENTURES INDIA LIMI,EQ,BSE,BSE
138041348,539224,HCKKVENTURE,HCKK VENTURES ,EQ,BSE,BSE
138041860,539226,RUDRA,RUDRA GLOBAL INFRA PRODUCTS LI,EQ,BSE,BSE
138042116,539227,LOYAL,LOYAL EQUIPMENTS ,EQ,BSE,BSE
138042372,539228,GGPL,GALA GLOBAL PRODUCTS ,EQ,BSE,BSE
138042884,539230,CHEMIESYNT,CHEMIESYNTH (VAPI) ,EQ,BSE,BSE
138048260,539251,BALKRISHNA,BALKRISHNA PAPER MILLS,EQ,BSE,BSE
138048516,539252,SHYAMCENT,SHYAM CENTURY FERROUS ,EQ,BSE,BSE
138048772,539253,SURYAINDIA,SURYA INDIA ,EQ,BSE,BSE
138049028,539254,ADANIENSOL,ADANI ENERGY SOLUTIONS ,EQ,BSE,BSE
138049284,539255,STARDELTA,STAR DELTA TRANSFORMERS LIMITE,EQ,BSE,BSE
138051844,539265,AMRAFIN,AMRAPALI FINCAP ,EQ,BSE,BSE
138052356,539267,SAMSRITA,SAMSRITA LABS,EQ,BSE,BSE
138052612,539268,SYNGENE,SYNGENE INTERNATIONAL ,EQ,BSE,BSE
138053892,539273,PECOS,PECOS HOTELS AND PUBS ,EQ,BSE,BSE
138054404,539275,MSL,MANGALAM SEEDS ,EQ,BSE,BSE
138054660,539276,KAYA,KAYA ,EQ,BSE,BSE
138054916,539277,ALSTONE,ALSTONE TEXTILES (INDIA),EQ,BSE,BSE
138055172,539278,SYMBIOX,SYMBIOX INVESTMENT & TRADING C,EQ,BSE,BSE
138057476,539287,ORTINGLOBE,ORTIN GLOBAL,EQ,BSE,BSE
138057732,539288,AVI,AVI POLYMERS,EQ,BSE,BSE
138057988,539289,AURUM,AURUM PROPTECH ,EQ,BSE,BSE
138058244,539290,OSWALGREEN,OSWAL GREENTECH ,EQ,BSE,BSE
138058500,539291,VASUDHAGAM,VASUDHAGAMA ENTERPRISES LIMITE,EQ,BSE,BSE
138060804,539300,SUNRAKSHAK,SUNRAKSHAKK INDUSTRIES INDIA L,EQ,BSE,BSE
138061060,539301,ARVSMART,ARVIND SMARTSPACES ,EQ,BSE,BSE
138061316,539302,POWERMECH,POWER MECH PROJECTS ,EQ,BSE,BSE
138063108,539309,RAMASTEEL,RAMA STEEL TUBES ,EQ,BSE,BSE
138063364,539310,THINKINK,THINKINK PICTUREZ,EQ,BSE,BSE
138063876,539312,UTISENSETF,UTI BSE SENSEX ETF,EQ,BSE,BSE
138064132,539313,UTINIFTETF,UTI MUTUAL FUND,EQ,BSE,BSE
138064388,539314,UNIAUTO,UNIVERSAL AUTOFOUNDRY ,EQ,BSE,BSE
138068740,539331,VETO,VETO SWITCHGEARS AND CABLES LI,EQ,BSE,BSE
138068996,539332,NAVKARCORP,NAVKAR CORPORATION ,EQ,BSE,BSE
138069508,539334,SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERT,EQ,BSE,BSE
138069764,539335,CHPLIND,CHPL INDUSTRIES,EQ,BSE,BSE
138070020,539336,GUJGASLTD,GUJARAT GAS ,EQ,BSE,BSE
138070276,539337,WAAREE,WAAREE TECHNOLOGIES,EQ,BSE,BSE
138072580,539346,SADBHIN,SADBHAV INFRASTRUCTURE PROJECT,EQ,BSE,BSE
138074116,539352,PBFL,P. B. FILMS ,EQ,BSE,BSE
138074372,539353,SALAUTO,SAL AUTOMOTIVE,EQ,BSE,BSE
138074628,539354,POLYSPIN,POLYSPIN EXPORTS,EQ,BSE,BSE
138075908,539359,PRITIKAUTO,PRITIKA AUTO INDUSTRIES LIMITE,EQ,BSE,BSE
138080772,539378,SML,SONI MEDICARE ,EQ,BSE,BSE
138082052,539383,MAHAVEER,MAHAVEER INFOWAY ,EQ,BSE,BSE
138082308,539384,KRISHNACAP,KRISHNA CAPITAL AND SECURITIES,EQ,BSE,BSE
138084100,539391,ACME,ACME RESOURCES ,EQ,BSE,BSE
138084612,539393,KCL,KABRA COMMERCIAL ,EQ,BSE,BSE
